,="["&(COLUMN(B1)-2)*10&".."&(COLUMN(B1)-1)*10&")"
632525324,9,5,16,13,17,5,
632525325,12,15,13,13,14,4,
632525326,15,6,15,8,12,7,
632525327,24,10,15,7,14,3,
632525328,21,6,16,13,14,1,
632525329,17,10,17,9,12,6,
632525330,16,8,19,14,11,3,
632525331,11,8,13,12,14,3,
632525332,17,8,17,26,14,3,
632525333,17,3,12,15,11,4,
632525334,8,16,11,17,12,4,
632525335,18,4,17,18,12,5,
632525336,23,8,5,18,13,7,
632525337,12,12,12,9,11,2,
632525338,21,10,14,8,16,1,
632525339,19,9,19,8,12,6,
632525340,21,6,21,10,5,3,
632525341,18,10,27,9,14,6,
632525342,13,7,12,12,12,4,
632525343,21,8,14,11,13,4,
632525344,16,3,25,12,10,2,
632525345,23,7,9,17,11,3,
632525346,7,9,21,15,9,5,
632525347,18,6,18,15,13,3,
632525348,18,4,23,12,9,3,
632525349,16,6,17,12,6,4,
632525350,14,3,14,18,9,4,
632525351,15,6,12,11,8,3,
632525352,25,8,21,17,14,2,
632525353,16,7,17,14,9,5,
632525354,17,9,21,12,13,3,
632525355,21,4,21,16,20,2,
632525356,23,13,11,11,9,3,
632525357,9,6,14,16,13,4,
632525358,21,6,18,13,12,2,
632525359,21,10,13,11,14,2,
632525360,17,4,16,18,13,
632525361,14,6,14,13,13,2,
632525362,10,11,11,11,15,3,
632525363,8,14,13,17,12,2,
632525364,23,3,14,12,10,5,
632525365,17,20,13,14,7,5,
632525366,16,4,12,8,18,2,
632525367,22,13,6,10,8,5,
632525368,22,3,20,9,21,3,
632525369,21,9,21,6,13,2,
632525370,20,3,17,14,27,4,
632525371,13,4,23,12,13,2,
632525372,23,3,19,12,10,4,
632525373,13,3,4,17,13,4,
632525374,10,10,14,14,11,3,
632525375,21,9,9,7,13,1,
632525376,13,9,17,4,11,5,
632525377,17,6,13,12,16,3,
632525378,16,13,17,16,15,
632525379,20,10,15,14,10,4,
632525380,19,7,20,9,7,4,
632525381,21,7,12,21,14,1,
632525382,16,3,10,12,7,6,
632525383,17,14,18,20,9,7,
632525384,14,6,15,18,11,2,
632525385,11,9,12,11,5,3,
632525386,21,10,13,16,10,6,
632525387,10,10,22,13,17,4,
632525388,11,11,21,16,7,5,
632525389,18,8,15,9,18,4,
632525390,18,6,14,13,13,2,
632525391,15,9,19,10,18,4,
632525392,18,13,19,12,13,4,
632525393,13,15,14,16,12,3,
632525394,15,4,22,14,8,4,
632525395,16,10,12,8,22,4,
632525396,8,6,9,14,12,2,
632525397,13,5,22,13,11,3,
632525398,16,8,12,10,11,6,
632525399,23,8,13,8,10,10,
632525400,10,9,16,10,16,3,
632525401,13,10,15,18,9,4,
632525402,17,8,21,17,12,1,
632525403,25,8,15,12,13,8,
632525404,18,13,8,10,10,4,
632525405,8,5,16,10,17,3,
632525406,20,7,11,15,14,8,
632525407,17,8,13,13,10,2,
632525408,21,8,13,11,8,2,
632525409,20,8,13,13,16,1,
632525410,22,10,12,14,9,2,
632525411,20,14,16,14,8,1,
632525412,20,8,16,14,9,2,
632525413,22,6,11,15,6,3,
632525414,14,13,22,12,13,1,
632525415,22,3,24,12,26,4,
632525416,14,8,11,11,12,6,
632525417,15,5,17,17,11,
632525418,15,6,13,13,5,3,
