,="["&(COLUMN(B1)-2)*10&".."&(COLUMN(B1)-1)*10&")"
632816055,0,0,1,
632816057,0,0,1,
632816058,0,0,1,
632816059,0,0,1,
632816060,
632816061,0,1,
632816062,0,1,
632816063,
632816064,
632816065,
632816067,
632816068,0,1,
632816069,
632816070,1,
632816071,0,1,
632816072,0,1,
632816073,0,1,
632816074,
632816075,
632816077,
632816078,
632816079,
632816080,0,0,1,
632816081,1,
632816082,
632816083,
632816084,1,1,
632816085,
632816087,
632816088,0,1,
632816089,
632816090,
632816091,
632816092,
632816093,
632816094,
632816095,
632816097,0,1,
632816098,
632816099,0,1,
632816100,0,1,
632816101,0,0,1,
632816102,0,1,
632816103,1,
632816104,
632816105,
632816107,
632816108,
632816109,
632816110,
632816111,
632816112,
632816113,
632816114,0,2,
632816115,
632816117,
632816118,
632816119,
632816120,
632816121,
632816122,
632816123,0,1,
632816124,
632816125,0,2,
632816127,
632816128,0,1,
632816129,
632816130,
632816131,
632816132,
632816133,1,
632816134,
632816135,
632816137,
632816138,1,
632816139,
632816140,
632816141,
632816142,
632816143,0,3,
632816144,1,
632816145,
632816147,
632816148,0,1,
632816149,
632816150,
632816151,1,
632816152,
632816153,
632816154,
632816155,
632816157,
632816158,0,2,
632816159,
632816160,
632816161,
632816162,0,1,
632816163,
632816164,
632816165,
632816167,
632816168,
632816169,
632816170,
632816171,
632816172,
632816173,
632816174,0,1,
632816175,0,0,1,
632816177,
632816178,
632816179,1,
632816180,0,1,
632816181,0,1,
632816182,1,
632816183,0,1,
632816184,
632816185,0,1,
632816187,
632816188,
632816189,
632816190,
632816191,0,1,
632816192,0,2,
632816193,
632816194,0,1,
632816195,
632816197,
632816198,0,1,
632816199,
632816200,
632816201,
632816202,
632816203,
632816204,
632816205,
632816207,0,0,1,
632816208,1,
632816209,
632816210,
632816211,
632816212,
632816213,
632816214,
632816215,
632816217,
632816218,0,0,1,
632816219,0,0,1,
632816220,
632816221,
632816222,
632816223,
632816224,
632816225,
632816227,
632816228,
632816229,
632816230,0,1,
632816231,
632816232,
632816233,0,1,1,
632816234,
632816235,
632816237,
632816238,
632816239,
632816240,
632816241,
632816242,
632816243,
632816244,
632816245,
632816247,
632816248,
632816249,
632816250,
632816251,
632816252,
632816253,
632816254,1,
632816255,
632816257,
632816258,
632816259,1,
632816260,0,1,
632816261,
632816262,
632816263,
632816264,
632816265,
632816267,
632816268,
632816269,
632816270,
632816271,0,0,1,
632816272,1,
632816273,1,
632816274,0,1,
632816275,
632816277,
632816278,
632816279,0,1,
632816280,
632816281,
632816282,1,
632816283,0,1,
632816284,
632816285,
632816287,
632816288,
632816289,
632816290,
632816291,0,1,
632816292,
632816293,
632816294,0,1,
632816295,1,
632816297,
632816298,1,
632816299,
632816300,0,0,1,
632816301,0,0,1,
632816302,
632816303,
632816304,
632816305,
632816307,
632816308,1,
632816309,0,1,
632816310,
632816311,
632816312,
632816313,
632816314,
632816315,
632816317,0,1,
632816318,
632816319,
632816320,
632816321,0,1,
632816322,
632816323,0,1,
632816324,0,1,
632816325,
632816327,
632816328,
632816329,0,2,
632816330,
632816331,
