,="["&(COLUMN(B1)-2)*10&".."&(COLUMN(B1)-1)*10&")"
632523528,8,5,4,4,7,3,3,
632523529,5,9,12,8,6,4,3,
632523530,4,4,4,6,4,8,
632523531,4,10,8,5,10,4,
632523532,3,7,4,6,2,8,2,
632523533,4,7,6,6,5,7,
632523534,8,2,7,7,10,8,4,
632523535,8,5,0,6,6,6,4,
632523536,9,5,7,6,7,11,1,
632523537,4,8,8,7,5,5,4,
632523538,2,8,8,4,7,7,3,
632523539,6,11,2,6,7,8,6,
632523540,3,6,4,6,5,7,2,
632523601,8,7,5,0,7,8,4,
632523602,4,2,4,12,7,2,1,
632523603,3,7,4,11,5,5,2,
632523604,6,8,2,9,10,10,2,
632523605,9,10,7,5,8,8,2,
632523606,6,6,5,9,7,9,3,
632523607,5,8,3,1,9,6,3,
